		A	B	C	D	NEXTWEEKBAP	BAP	CONF	BD	SAC	PK	OL	NIMISSFIND	NIMEMREF	RCLA	LAC	RCT
2014:4:0:0:WEST	-	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
2014:5:0:0:CENTRAL	-	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
2014:5:0:0:EAST	-	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2014:5:0:0:HSINCHU	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2014:5:0:0:HUALIEN	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2014:5:0:0:TAOYUAN	-	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
2014:5:0:0:WEST	-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
2014:6:0:0:CENTRAL	-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
2014:6:0:0:EAST	-	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
2014:6:0:0:HSINCHU	-	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
2014:6:0:0:HUALIEN	-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
2014:6:0:0:TAOYUAN	-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
2014:6:0:0:WEST	-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
2014:7:0:0:CENTRAL	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2014:7:0:0:EAST	-	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2014:7:0:0:HSINCHU	-	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
2014:7:0:0:HUALIEN	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2014:7:0:0:TAOYUAN	-	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
2014:7:0:0:WEST	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2014:8:0:0:CENTRAL	-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
2014:8:0:0:EAST	-	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2014:8:0:0:HSINCHU	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2014:8:0:0:HUALIEN	-	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
2014:8:0:0:TAOYUAN	-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
2014:8:0:0:WEST	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2014:9:0:0:CENTRAL	-	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
2014:9:0:0:EAST	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2014:9:0:0:HSINCHU	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2014:9:0:0:HUALIEN	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2014:9:0:0:TAOYUAN	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2014:9:0:0:WEST	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2015:10:0:0:CENTRAL	-	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
2015:10:0:0:EAST	-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
2015:10:0:0:HSINCHU	-	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
2015:10:0:0:HUALIEN	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:10:0:0:SOUTH	-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
2015:10:0:0:TAOYUAN	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:10:0:0:WEST	-	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2015:11:0:0:CENTRAL	-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
2015:11:0:0:EAST	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:11:0:0:HSINCHU	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:11:0:0:HUALIEN	-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
2015:11:0:0:SOUTH	-	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2015:11:0:0:TAOYUAN	-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
2015:11:0:0:WEST	-	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2015:12:0:0:CENTRAL	-	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
2015:12:0:0:EAST	-	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2015:12:0:0:HSINCHU	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:12:0:0:HUALIEN	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2015:12:0:0:NORTH	-	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2015:12:0:0:SOUTH	-	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2015:12:0:0:TAOYUAN	-	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
2015:12:0:0:WEST	-	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
2015:1:0:0:CENTRAL	-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
2015:1:0:0:EAST	-	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2015:1:0:0:HSINCHU	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:1:0:0:HUALIEN	-	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2015:1:0:0:TAOYUAN	-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
2015:1:0:0:WEST	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:2:0:0:CENTRAL	-	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
2015:2:0:0:EAST	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:2:0:0:HSINCHU	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:2:0:0:HUALIEN	-	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2015:2:0:0:SOUTH	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2015:2:0:0:TAOYUAN	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2015:2:0:0:WEST	-	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
2015:3:0:0:CENTRAL	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2015:3:0:0:EAST	-	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
2015:3:0:0:HSINCHU	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:3:0:0:HUALIEN	-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
2015:3:0:0:SOUTH	-	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
2015:3:0:0:TAOYUAN	-	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2015:3:0:0:WEST	-	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
2015:4:0:0:CENTRAL	-	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
2015:4:0:0:EAST	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:4:0:0:HSINCHU	-	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2015:4:0:0:HUALIEN	-	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2015:4:0:0:SOUTH	-	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2015:4:0:0:TAOYUAN	-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
2015:4:0:0:WEST	-	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
2015:5:0:0:CENTRAL	-	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
2015:5:0:0:EAST	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:5:0:0:HSINCHU	-	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2015:5:0:0:HUALIEN	-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
2015:5:0:0:SOUTH	-	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2015:5:0:0:TAOYUAN	-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
2015:5:0:0:WEST	-	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2015:6:0:0:CENTRAL	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2015:6:0:0:EAST	-	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2015:6:0:0:HSINCHU	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:6:0:0:HUALIEN	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2015:6:0:0:SOUTH	-	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2015:6:0:0:TAOYUAN	-	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
2015:6:0:0:WEST	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:7:0:0:CENTRAL	-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
2015:7:0:0:EAST	-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
2015:7:0:0:HSINCHU	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2015:7:0:0:HUALIEN	-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
2015:7:0:0:SOUTH	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:7:0:0:TAOYUAN	-	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
2015:7:0:0:WEST	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2015:8:0:0:CENTRAL	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2015:8:0:0:EAST	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2015:8:0:0:HSINCHU	-	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2015:8:0:0:HUALIEN	-	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2015:8:0:0:SOUTH	-	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2015:8:0:0:TAOYUAN	-	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
2015:8:0:0:WEST	-	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2015:9:0:0:CENTRAL	-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
2015:9:0:0:EAST	-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
2015:9:0:0:HSINCHU	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:9:0:0:HUALIEN	-	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
2015:9:0:0:SOUTH	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:9:0:0:TAOYUAN	-	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2015:9:0:0:WEST	-	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2016:1:0:0:CENTRAL	+886972576542	7	6	49	64	7	4	4	173	25	184	428	115	0	86	13	3
2016:1:0:0:EAST	+886972576520	0	7	43	93	27	5	4	185	48	260	281	134	0	137	31	1
2016:1:0:0:HSINCHU	+886963537337	17	8	63	106	20	10	7	242	57	290	405	173	0	162	41	1
2016:1:0:0:HUALIEN	+886972576536	2	6	76	109	15	1	1	242	51	221	357	144	0	119	29	8
2016:1:0:0:NORTH	+886972576546	5	6	14	49	5	1	1	88	14	97	199	79	0	68	17	0
2016:1:0:0:SOUTH	+886972576529	1	3	48	101	21	10	2	204	51	221	337	170	0	92	26	0
2016:1:0:0:TAOYUAN	+886912576044	7	6	53	99	12	4	3	249	36	225	369	155	0	142	21	1
2016:1:0:0:WEST	+886972961085	1	13	34	74	8	5	5	150	33	184	326	114	0	102	30	0
2016:2:0:0:CENTRAL	+886972576500	0	3	42	58	1	0	0	157	37	162	276	134	12	82	17	6
2016:2:0:0:EAST	+886972576520	0	4	32	74	2	2	2	133	45	149	298	115	2	98	28	1
2016:2:0:0:HSINCHU	+886963537337	4	10	42	54	4	2	2	130	45	184	361	129	8	131	39	1
2016:2:0:0:HUALIEN	+886972576536	3	7	49	66	5	1	1	151	37	131	245	105	9	82	28	0
2016:2:0:0:NORTH	+886972576546	4	7	8	19	0	0	0	59	18	82	119	51	7	44	15	0
2016:2:0:0:SOUTH	+886972576529	0	3	54	61	2	0	0	161	51	177	255	146	2	89	33	0
2016:2:0:0:TAOYUAN	+886912576044	5	1	24	67	1	2	2	162	43	142	316	125	5	96	36	0
2016:2:0:0:WEST	+886972961085	2	8	32	50	1	0	0	116	37	111	184	76	4	91	31	0
